_id,Date,Line,Time,Day,Station,Incident,Min Delay,Min Gap,Bound,Vehicle,,
69,2025-01-03,503,5:04,Friday,QUEEN AND GREENWOOD,Security,None,None,E,4444,QUEEN AND GREENWOOD,
70,2025-01-03,501,5:54,Friday,QUEENSWAY AND GLENDALE,Security,18,28,E,4589,QUEENSWAY AND GLENDALE,
71,2025-01-03,505,5:57,Friday,VICTORIA AND DUNDAS,General Delay,12,22,W,4507,VICTORIA AND DUNDAS,
72,2025-01-03,505,6:54,Friday,LANSDOWNE AND DUNDAS,General Delay,21,31,E,4507,LANSDOWNE AND DUNDAS,
73,2025-01-03,501,7:15,Friday,QUEEN AND CHURCH,Diversion,36,45,N,4404,QUEEN AND CHURCH,
74,2025-01-03,504,7:30,Friday,CHURCH AND RICHMOND,Mechanical,10,20,N,4491,CHURCH AND RICHMOND,
75,2025-01-03,501,8:02,Friday,QUEEN AND OSSINGTON,Mechanical,9,18,W,4584,QUEEN AND OSSINGTON,
76,2025-01-03,505,9:13,Friday,BROADVIEW STATION,Mechanical,10,20,W,4485,BROADVIEW STATION,
77,2025-01-03,505,11:48,Friday,DUNDAS AND DOVERCOURT,Operations,22,32,E,4499,DUNDAS AND DOVERCOURT,
78,2025-01-03,512,13:06,Friday,ST CLAIR AND WYCHWOOD,Cleaning - Unsanitary,10,20,W,4429,ST CLAIR AND WYCHWOOD,
79,2025-01-03,504,13:11,Friday,KING AND SUDBURY,Mechanical,10,20,E,4533,KING AND SUDBURY,
80,2025-01-03,504,14:03,Friday,RONCESVALLES AND KING,Collision - TTC Involved,12,22,N,4529,RONCESVALLES AND KING,
81,2025-01-03,512,14:32,Friday,ST CLAIR AND TWEEDSMUI,Cleaning - Unsanitary,8,16,W,4605,ST CLAIR AND TWEEDSMUI,
82,2025-01-03,512,15:11,Friday,ST CLAIR AND RUSSELL H,Cleaning - Unsanitary,8,16,E,4516,ST CLAIR AND RUSSELL H,
83,2025-01-03,510,19:15,Friday,CHARLOTTE AND KING,Security,6,12,S,8761,CHARLOTTE AND KING,
84,2025-01-03,511,20:13,Friday,WOLSELEY LOOP,Mechanical,9,17,S,7112,WOLSELEY LOOP,
85,2025-01-03,505,20:57,Friday,DUNDAS AND BAY,Security,7,20,E,4507,DUNDAS AND BAY,
86,2025-01-03,505,22:15,Friday,DUNDAS AND BATHURST,General Delay,15,15,E,4630,DUNDAS AND BATHURST,
87,2025-01-03,506,22:17,Friday,GERRARD AND BROADVIEW,Operations,16,26,W,4420,GERRARD AND BROADVIEW,
88,2025-01-03,510,23:27,Friday,SPADINA STATION,Security,10,20,N,8653,SPADINA STATION,
89,2025-01-03,511,0:39,Friday,BATHURST AND KING,Cleaning - Unsanitary,10,20,S,7019,BATHURST AND KING,
90,2025-01-03,506,1:59,Friday,UPPER GERRARD AND GLEN,Diversion,19,34,W,4500,UPPER GERRARD AND GLEN,
91,2025-01-04,305,2:21,Saturday,DUNDAS AND UNIVERSITY,Security,30,45,E,4567,DUNDAS AND UNIVERSITY,
92,2025-01-04,504,4:20,Saturday,DUNDAS WEST STATION,Operations,15,30,E,4532,DUNDAS WEST STATION,
93,2025-01-04,505,4:43,Saturday,DUNDAS WEST STATION,Security,None,None,W,4540,DUNDAS WEST STATION,
94,2025-01-04,507,5:17,Saturday,QUEEN AND RONCESVALLES,Emergency Services,15,30,W,4558,QUEEN AND RONCESVALLES,
95,2025-01-04,512,5:51,Saturday,QUEEN AND LESLIE,Security,None,None,E,4472,QUEEN AND LESLIE,
96,2025-01-04,510,6:37,Saturday,BATHURST AND LAKESHORE,Security,4,8,S,3360,BATHURST AND LAKESHORE,
97,2025-01-04,506,7:42,Saturday,LANSDOWNE AND COLLEGE,General Delay,10,20,N,4574,LANSDOWNE AND COLLEGE,
98,2025-01-04,506,9:12,Saturday,HOWARD PARK AND HIGH P,Diversion,10,20,None,4577,HOWARD PARK AND HIGH P,
99,2025-01-04,504,9:15,Saturday,DISTILLERY LOOP,Cleaning - Unsanitary,10,20,N,4452,DISTILLERY LOOP,
100,2025-01-04,501,12:32,Saturday,QUEEN AND HAMBLY,Diversion,9,19,W,4441,QUEEN AND HAMBLY,
101,2025-01-04,501,13:27,Saturday,QUEEN AND KINGSTON,Cleaning - Unsanitary,9,18,None,4418,QUEEN AND KINGSTON,
102,2025-01-04,510,14:14,Saturday,SPADINA STATION,Collision - TTC Involved,5,10,S,8826,SPADINA STATION,
103,2025-01-04,505,14:30,Saturday,DUNDAS AND JARVIS,Cleaning - Unsanitary,6,12,E,4564,DUNDAS AND JARVIS,
104,2025-01-04,510,17:57,Saturday,SPADINA AND QUEEN,Operations,10,20,N,8665,SPADINA AND QUEEN,
105,2025-01-04,511,19:01,Saturday,BATHURST STATION,Emergency Services,None,None,S,4491,BATHURST STATION,
106,2025-01-04,501,20:10,Saturday,NEVILLE LOOP,Security,10,20,None,4489,NEVILLE LOOP,
107,2025-01-04,512,20:10,Saturday,ST CLAIR AND EARLSCOUR,Overhead,9,18,E,4526,ST CLAIR AND EARLSCOUR,
108,2025-01-04,501,21:00,Saturday,QUEENSWAY EAST OF HUMB,General Delay,50,60,E,4449,QUEENSWAY EAST OF HUMB,
109,2025-01-04,511,21:16,Saturday,BATHURST AND KING,Utilized Off Route,10,20,N,7043,BATHURST AND KING,
110,2025-01-04,512,21:30,Saturday,ST CLAIR AND EARLS COU,Overhead,9,18,E,4466,ST CLAIR AND EARLS COU,
111,2025-01-04,505,21:57,Saturday,BROADVIEW STATION,Emergency Services,10,20,W,4544,BROADVIEW STATION,
